483840,0.80032,0.43725,-0.16628,walking
483841,0.80452,0.42985,-0.15922,walking
483842,0.81052,0.42296,-0.14864,walking
483843,0.81665,0.41216,-0.14415,walking
483844,0.82285,0.39656,-0.14316,walking
483845,0.83126,0.38576,-0.13552,walking
483846,0.83926,0.37163,-0.12526,walking
483847,0.84728,0.35382,-0.11725,walking
483848,0.85537,0.33705,-0.11156,walking
483849,0.86079,0.32459,-0.10655,walking
483850,0.86496,0.31587,-0.09291,walking
483851,0.87294,0.30239,-0.08459,walking
483852,0.87606,0.2881,-0.076021,walking
483853,0.88209,0.27134,-0.073993,walking
483854,0.88824,0.25536,-0.073643,walking
483855,0.88873,0.25272,-0.078073,walking
483856,0.88327,0.26557,-0.083737,walking
483857,0.87103,0.30114,-0.090018,walking
483858,0.84915,0.35852,-0.097376,walking
483859,0.81659,0.43067,-0.085562,walking
483860,0.78683,0.48975,-0.060333,walking
483861,0.75668,0.5386,-0.044303,walking
483862,0.71932,0.58627,-0.05004,walking
483863,0.68224,0.62916,-0.063514,walking
483864,0.64753,0.65935,-0.076685,walking
483865,0.61628,0.68648,-0.085329,walking
483866,0.59436,0.70879,-0.083329,walking
483867,0.58049,0.72182,-0.074751,walking
483868,0.57002,0.72941,-0.081116,walking
483869,0.56335,0.73129,-0.085721,walking
483870,0.55334,0.73797,-0.078809,walking
483871,0.54389,0.74914,-0.053892,walking
483872,0.54402,0.75178,-0.017232,walking
483873,0.54585,0.74994,-0.008159,walking
483874,0.55743,0.74133,-0.031644,walking
483875,0.55342,0.72627,-0.14482,walking
483876,0.5648,0.71117,-0.185,walking
483877,0.5992,0.69326,-0.14297,walking
483878,0.64722,0.65808,-0.11017,walking
483879,0.68105,0.62233,-0.08679,walking
483880,0.70793,0.59492,-0.063642,walking
483881,0.73655,0.5613,-0.058685,walking
483882,0.76366,0.52506,-0.046411,walking
483883,0.78775,0.4898,-0.032964,walking
483884,0.81123,0.44565,-0.022457,walking
483885,0.83426,0.40204,-0.016338,walking
483886,0.85221,0.36557,-0.018849,walking
483887,0.86432,0.33786,-0.023881,walking
483888,0.87315,0.31461,-0.019852,walking
483889,0.87995,0.28697,-0.008875,walking
483890,0.88699,0.26013,-0.001756,walking
483891,0.89466,0.24251,-0.0021,walking
483892,0.89337,0.24309,-0.012933,walking
483893,0.8878,0.26428,-0.027607,walking
483894,0.87091,0.30853,-0.041505,walking
483895,0.85083,0.36212,-0.035132,walking
483896,0.82771,0.41791,-0.018624,walking
483897,0.80191,0.4678,-0.001066,walking
483898,0.76865,0.51952,0.000824,walking
483899,0.72228,0.58175,-0.005582,walking
483900,0.67939,0.63251,-0.023227,walking
483901,0.6398,0.67124,-0.043763,walking
483902,0.60042,0.70678,-0.063722,walking
483903,0.57291,0.72819,-0.067912,walking
483904,0.55674,0.73751,-0.076154,walking
483905,0.54882,0.74133,-0.085325,walking
483906,0.54354,0.74681,-0.093289,walking
483907,0.53777,0.75023,-0.097637,walking
483908,0.53011,0.7527,-0.11422,walking
483909,0.5259,0.74386,-0.1604,walking
483910,0.53185,0.74013,-0.16452,walking
483911,0.56144,0.72087,-0.15594,walking
483912,0.60567,0.68801,-0.13087,walking
483913,0.64801,0.65042,-0.12221,walking
483914,0.68608,0.61214,-0.11212,walking
483915,0.71086,0.5856,-0.10549,walking
483916,0.72992,0.56018,-0.10303,walking
483917,0.75193,0.53307,-0.0758,walking
483918,0.7736,0.50684,-0.047701,walking
483919,0.79982,0.46897,-0.022974,walking
483920,0.81778,0.43551,-0.019248,walking
483921,0.83425,0.4021,-0.023785,walking
483922,0.85001,0.36482,-0.022626,walking
483923,0.86044,0.34094,-0.016226,walking
483924,0.86846,0.32021,-0.008673,walking
483925,0.8763,0.30006,0.005538,walking
483926,0.88443,0.27496,0.002904,walking
483927,0.8881,0.25627,0.004124,walking
483928,0.89472,0.23598,0.002897,walking
483929,0.89838,0.21949,0.000739,walking
483930,0.89885,0.21451,-0.013534,walking
483931,0.89672,0.2228,-0.034672,walking
483932,0.88873,0.25374,-0.045359,walking
483933,0.87222,0.30313,-0.049454,walking
483934,0.84955,0.36398,-0.045603,walking
483935,0.82857,0.41196,-0.038387,walking
483936,0.80637,0.45446,-0.031238,walking
483937,0.77629,0.50533,-0.030004,walking
483938,0.73879,0.55824,-0.038664,walking
